sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
12,07:30:00,07:45:00,2024-01-13,5,86,5,18,109,106,8,13,127,76,20,8,104,43,8,4,55
12,07:45:00,08:00:00,2024-01-13,5,132,7,13,152,144,10,31,185,83,19,3,105,116,13,10,139
12,08:00:00,08:15:00,2024-01-13,5,130,10,14,154,129,3,30,162,93,21,13,127,73,17,6,96
12,08:15:00,08:30:00,2024-01-13,5,128,12,24,164,174,7,29,210,85,21,10,116,83,11,14,108
12,08:30:00,08:45:00,2024-01-13,5,118,9,25,152,120,5,14,139,76,15,13,104,50,10,11,71
12,08:45:00,09:00:00,2024-01-13,5,132,12,27,171,113,7,25,145,108,22,4,134,73,10,6,89
12,09:00:00,09:15:00,2024-01-13,5,95,7,25,127,132,4,30,166,131,28,13,172,83,17,9,109
12,09:15:00,09:30:00,2024-01-13,5,115,6,15,136,105,2,20,127,69,20,12,101,67,11,11,89
12,10:00:00,10:15:00,2024-01-13,5,75,6,10,91,87,12,15,114,84,17,8,109,53,5,3,61
12,10:15:00,10:30:00,2024-01-13,5,118,10,14,142,49,1,4,54,61,18,6,85,59,12,9,80
12,10:30:00,10:45:00,2024-01-13,5,75,2,13,90,70,2,12,84,57,10,7,74,54,7,6,67
12,10:45:00,11:00:00,2024-01-13,5,106,6,12,124,54,5,15,74,53,8,11,72,31,4,5,40
12,11:00:00,11:15:00,2024-01-13,5,87,5,14,106,81,3,20,104,32,7,2,41,44,9,5,58
12,11:15:00,11:30:00,2024-01-13,5,79,2,12,93,57,2,14,73,54,10,4,68,34,10,5,49
12,11:30:00,11:45:00,2024-01-13,5,46,1,6,53,68,4,18,90,37,15,5,57,48,9,8,65
12,11:45:00,12:00:00,2024-01-13,5,72,5,10,87,98,2,16,116,47,8,5,60,38,8,8,54
12,13:00:00,13:15:00,2024-01-13,5,76,7,15,98,76,2,16,94,69,14,5,88,64,11,9,84
12,13:15:00,13:30:00,2024-01-13,5,67,4,10,81,81,2,9,92,59,12,7,78,39,11,6,56
12,13:30:00,13:45:00,2024-01-13,5,64,4,11,79,80,1,14,95,38,10,5,53,41,6,5,52
12,13:45:00,14:00:00,2024-01-13,5,55,4,13,72,37,1,7,45,44,8,1,53,35,6,3,44
12,14:00:00,14:15:00,2024-01-13,5,56,5,15,76,58,4,6,68,35,7,5,47,27,4,6,37
12,14:15:00,14:30:00,2024-01-13,5,71,7,12,90,58,2,8,68,48,11,6,65,49,10,6,65
12,14:30:00,14:45:00,2024-01-13,5,67,4,8,79,55,1,12,68,44,8,5,57,43,5,4,52
12,14:45:00,15:00:00,2024-01-13,5,59,6,7,72,68,5,10,83,37,10,7,54,25,3,4,32
12,16:00:00,16:15:00,2024-01-13,5,53,5,7,65,59,0,12,71,35,6,1,42,34,7,4,45
12,16:15:00,16:30:00,2024-01-13,5,64,2,8,74,52,4,8,64,45,12,2,59,24,3,3,30
12,16:30:00,16:45:00,2024-01-13,5,94,6,10,110,67,2,23,92,65,17,2,84,44,4,8,56
12,16:45:00,17:00:00,2024-01-13,5,63,2,16,81,75,3,8,86,39,6,2,47,56,9,3,68
12,17:00:00,17:15:00,2024-01-13,5,66,7,9,82,69,1,14,84,54,15,1,70,42,5,4,51
12,17:15:00,17:30:00,2024-01-13,5,103,6,12,121,90,5,14,109,66,18,3,87,42,6,4,52
12,17:30:00,17:45:00,2024-01-13,5,82,8,18,108,93,1,18,112,72,14,2,88,43,8,9,60
12,17:45:00,18:00:00,2024-01-13,5,76,3,15,94,57,0,10,67,44,13,5,62,50,13,4,67
