sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
5,07:30:00,07:45:00,2024-01-06,5,87,5,16,108,89,4,18,111,77,18,2,97,75,6,8,89
5,07:45:00,08:00:00,2024-01-06,5,79,3,9,91,127,5,15,147,72,15,3,90,87,15,10,112
5,08:00:00,08:15:00,2024-01-06,5,98,6,19,123,121,3,10,134,74,25,5,104,84,17,9,110
5,08:15:00,08:30:00,2024-01-06,5,103,6,12,121,101,9,17,127,88,21,10,119,87,17,9,113
5,08:30:00,08:45:00,2024-01-06,5,126,10,26,162,119,9,22,150,55,11,5,71,73,9,12,94
5,08:45:00,09:00:00,2024-01-06,5,118,6,15,139,142,5,25,172,84,14,8,106,38,9,5,52
5,09:00:00,09:15:00,2024-01-06,5,155,13,28,196,112,3,22,137,129,18,13,160,99,15,17,131
5,09:15:00,09:30:00,2024-01-06,5,111,12,11,134,102,2,20,124,85,17,7,109,45,9,6,60
5,10:00:00,10:15:00,2024-01-06,5,105,9,19,133,60,7,13,80,62,13,7,82,47,11,5,63
5,10:15:00,10:30:00,2024-01-06,5,110,8,12,130,82,5,12,99,78,13,10,101,61,12,8,81
5,10:30:00,10:45:00,2024-01-06,5,107,8,15,130,83,10,12,105,71,14,6,91,55,10,8,73
5,10:45:00,11:00:00,2024-01-06,5,92,13,12,117,59,3,10,72,53,17,6,76,56,7,7,70
5,11:00:00,11:15:00,2024-01-06,5,57,3,4,64,80,3,13,96,57,10,4,71,26,2,5,33
5,11:15:00,11:30:00,2024-01-06,5,47,2,6,55,76,3,14,93,55,4,4,63,32,7,13,52
5,11:30:00,11:45:00,2024-01-06,5,68,2,11,81,48,4,10,62,45,7,6,58,36,6,3,45
5,11:45:00,12:00:00,2024-01-06,5,97,4,20,121,57,5,10,72,62,23,2,87,41,9,1,51
5,13:00:00,13:15:00,2024-01-06,5,69,1,14,84,83,3,10,96,62,14,1,77,55,8,9,72
5,13:15:00,13:30:00,2024-01-06,5,96,8,11,115,56,2,6,64,50,8,6,64,49,7,9,65
5,13:30:00,13:45:00,2024-01-06,5,89,10,17,116,53,2,6,61,49,13,8,70,40,7,2,49
5,13:45:00,14:00:00,2024-01-06,5,30,3,8,41,73,5,12,90,48,7,7,62,35,6,7,48
5,14:00:00,14:15:00,2024-01-06,5,55,1,10,66,66,2,20,88,26,6,5,37,32,4,2,38
5,14:15:00,14:30:00,2024-01-06,5,89,6,11,106,71,4,13,88,64,11,7,82,56,8,3,67
5,14:30:00,14:45:00,2024-01-06,5,56,4,10,70,63,2,10,75,36,13,4,53,32,3,5,40
5,14:45:00,15:00:00,2024-01-06,5,62,3,9,74,41,2,10,53,49,13,2,64,40,4,2,46
5,16:00:00,16:15:00,2024-01-06,5,76,6,8,90,53,4,6,63,53,14,3,70,67,5,4,76
5,16:15:00,16:30:00,2024-01-06,5,49,3,12,64,52,2,7,61,43,11,3,57,45,4,1,50
5,16:30:00,16:45:00,2024-01-06,5,66,6,14,86,69,4,9,82,48,10,7,65,34,7,8,49
5,16:45:00,17:00:00,2024-01-06,5,81,13,10,104,78,6,15,99,42,7,3,52,46,6,5,57
5,17:00:00,17:15:00,2024-01-06,5,83,10,15,108,61,2,7,70,45,10,4,59,27,2,1,30
5,17:15:00,17:30:00,2024-01-06,5,59,3,11,73,74,3,10,87,30,6,4,40,43,4,1,48
5,17:30:00,17:45:00,2024-01-06,5,111,8,14,133,77,5,17,99,65,14,8,87,48,11,5,64
5,17:45:00,18:00:00,2024-01-06,5,61,3,10,74,66,3,8,77,39,3,1,43,51,3,8,62
