sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
23,07:30:00,07:45:00,2024-01-24,2,163,5,29,197,142,11,19,172,114,19,11,144,71,11,11,93
23,07:45:00,08:00:00,2024-01-24,2,228,20,32,280,165,4,24,193,173,38,6,217,82,9,10,101
23,08:00:00,08:15:00,2024-01-24,2,152,6,25,183,195,7,25,227,168,29,12,209,134,12,15,161
23,08:15:00,08:30:00,2024-01-24,2,186,14,23,223,233,12,37,282,152,42,18,212,121,11,14,146
23,08:30:00,08:45:00,2024-01-24,2,216,15,37,268,170,12,32,214,108,21,14,143,96,18,11,125
23,08:45:00,09:00:00,2024-01-24,2,186,19,27,232,203,10,25,238,143,34,13,190,117,17,5,139
23,09:00:00,09:15:00,2024-01-24,2,212,23,36,271,126,9,22,157,152,33,17,202,148,22,18,188
23,09:15:00,09:30:00,2024-01-24,2,149,12,23,184,185,8,31,224,83,20,10,113,93,16,9,118
23,10:00:00,10:15:00,2024-01-24,2,136,5,17,158,109,7,23,139,116,30,8,154,93,11,13,117
23,10:15:00,10:30:00,2024-01-24,2,154,11,27,192,121,4,26,151,102,18,9,129,77,10,12,99
23,10:30:00,10:45:00,2024-01-24,2,140,18,31,189,147,4,28,179,122,22,8,152,92,12,2,106
23,10:45:00,11:00:00,2024-01-24,2,114,3,18,135,82,4,19,105,90,17,13,120,61,7,7,75
23,11:00:00,11:15:00,2024-01-24,2,108,5,14,127,106,2,14,122,74,18,10,102,73,7,10,90
23,11:15:00,11:30:00,2024-01-24,2,93,8,13,114,87,7,14,108,77,9,9,95,58,10,7,75
23,11:30:00,11:45:00,2024-01-24,2,92,4,14,110,136,12,23,171,85,18,11,114,72,5,9,86
23,11:45:00,12:00:00,2024-01-24,2,103,5,17,125,116,0,16,132,83,16,9,108,70,15,6,91
23,13:00:00,13:15:00,2024-01-24,2,98,10,28,136,106,6,14,126,104,26,4,134,84,17,8,109
23,13:15:00,13:30:00,2024-01-24,2,142,13,13,168,108,6,24,138,70,13,4,87,78,5,6,89
23,13:30:00,13:45:00,2024-01-24,2,143,13,32,188,139,5,17,161,52,16,2,70,68,13,6,87
23,13:45:00,14:00:00,2024-01-24,2,139,11,19,169,83,7,16,106,57,13,7,77,64,4,13,81
23,14:00:00,14:15:00,2024-01-24,2,90,7,12,109,79,3,17,99,83,17,5,105,46,2,4,52
23,14:15:00,14:30:00,2024-01-24,2,112,8,21,141,136,4,17,157,89,21,10,120,71,14,6,91
23,14:30:00,14:45:00,2024-01-24,2,96,8,13,117,114,5,15,134,44,11,2,57,72,6,5,83
23,14:45:00,15:00:00,2024-01-24,2,148,11,25,184,99,4,15,118,55,19,7,81,69,12,2,83
23,16:00:00,16:15:00,2024-01-24,2,88,3,12,103,90,3,14,107,85,13,7,105,54,6,13,73
23,16:15:00,16:30:00,2024-01-24,2,87,8,18,113,119,3,16,138,67,10,8,85,54,8,8,70
23,16:30:00,16:45:00,2024-01-24,2,149,8,17,174,129,5,29,163,68,10,3,81,66,15,10,91
23,16:45:00,17:00:00,2024-01-24,2,98,4,11,113,118,5,20,143,54,16,5,75,77,10,15,102
23,17:00:00,17:15:00,2024-01-24,2,94,8,11,113,80,4,15,99,80,14,5,99,67,9,9,85
23,17:15:00,17:30:00,2024-01-24,2,136,6,21,163,107,7,15,129,70,22,8,100,53,10,4,67
23,17:30:00,17:45:00,2024-01-24,2,115,15,20,150,102,4,21,127,74,17,4,95,73,10,8,91
23,17:45:00,18:00:00,2024-01-24,2,123,2,22,147,78,3,19,100,96,18,5,119,66,12,12,90
