sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
36,07:30:00,07:45:00,2024-02-06,1,147,19,22,188,136,7,22,165,87,19,13,119,90,14,12,116
36,07:45:00,08:00:00,2024-02-06,1,135,10,21,166,217,11,38,266,201,41,18,260,90,13,11,114
36,08:00:00,08:15:00,2024-02-06,1,269,27,32,328,188,15,38,241,127,41,10,178,128,21,17,166
36,08:15:00,08:30:00,2024-02-06,1,206,26,32,264,260,19,51,330,162,29,9,200,155,30,23,208
36,08:30:00,08:45:00,2024-02-06,1,191,12,20,223,185,8,39,232,91,22,11,124,94,24,16,134
36,08:45:00,09:00:00,2024-02-06,1,204,19,36,259,195,8,30,233,125,26,13,164,142,18,6,166
36,09:00:00,09:15:00,2024-02-06,1,244,15,41,300,147,6,23,176,180,30,17,227,127,19,12,158
36,09:15:00,09:30:00,2024-02-06,1,175,10,21,206,109,5,18,132,90,30,7,127,93,10,7,110
36,10:00:00,10:15:00,2024-02-06,1,132,8,20,160,155,9,25,189,72,16,8,96,90,18,13,121
36,10:15:00,10:30:00,2024-02-06,1,109,7,22,138,162,6,33,201,126,22,10,158,94,16,9,119
36,10:30:00,10:45:00,2024-02-06,1,155,6,28,189,188,10,39,237,121,30,13,164,92,12,17,121
36,10:45:00,11:00:00,2024-02-06,1,103,10,18,131,103,5,18,126,111,25,11,147,82,14,7,103
36,11:00:00,11:15:00,2024-02-06,1,136,9,14,159,92,6,14,112,107,20,6,133,80,19,17,116
36,11:15:00,11:30:00,2024-02-06,1,125,5,21,151,102,4,25,131,93,21,10,124,59,7,9,75
36,11:30:00,11:45:00,2024-02-06,1,111,7,27,145,99,9,13,121,85,16,8,109,66,9,3,78
36,11:45:00,12:00:00,2024-02-06,1,119,10,22,151,99,6,12,117,76,14,5,95,62,3,9,74
36,13:00:00,13:15:00,2024-02-06,1,125,4,22,151,93,2,14,109,108,20,13,141,112,17,12,141
36,13:15:00,13:30:00,2024-02-06,1,113,12,24,149,107,12,20,139,53,9,4,66,57,11,9,77
36,13:30:00,13:45:00,2024-02-06,1,107,16,24,147,91,5,20,116,101,19,6,126,69,15,9,93
36,13:45:00,14:00:00,2024-02-06,1,130,12,20,162,73,1,13,87,47,22,1,70,66,11,10,87
36,14:00:00,14:15:00,2024-02-06,1,78,2,20,100,66,10,9,85,58,10,2,70,61,8,9,78
36,14:15:00,14:30:00,2024-02-06,1,109,7,23,139,137,8,23,168,109,21,6,136,67,9,7,83
36,14:30:00,14:45:00,2024-02-06,1,92,4,17,113,80,7,22,109,62,10,5,77,58,6,6,70
36,14:45:00,15:00:00,2024-02-06,1,110,6,13,129,104,6,14,124,68,20,7,95,78,15,11,104
36,16:00:00,16:15:00,2024-02-06,1,108,7,11,126,93,5,12,110,93,15,8,116,78,13,20,111
36,16:15:00,16:30:00,2024-02-06,1,114,14,19,147,95,8,12,115,99,20,14,133,70,15,5,90
36,16:30:00,16:45:00,2024-02-06,1,114,6,18,138,129,5,16,150,124,27,11,162,70,9,4,83
36,16:45:00,17:00:00,2024-02-06,1,97,9,14,120,97,4,15,116,79,18,9,106,77,12,7,96
36,17:00:00,17:15:00,2024-02-06,1,88,5,14,107,77,5,17,99,73,9,10,92,66,12,10,88
36,17:15:00,17:30:00,2024-02-06,1,132,4,26,162,134,5,20,159,72,16,6,94,98,13,13,124
36,17:30:00,17:45:00,2024-02-06,1,108,7,19,134,145,4,22,171,134,30,7,171,90,14,13,117
36,17:45:00,18:00:00,2024-02-06,1,130,11,19,160,137,9,29,175,99,19,10,128,71,8,4,83
