sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
48,07:30:00,07:45:00,2024-02-18,6,94,11,21,126,49,4,14,67,77,20,7,104,44,8,6,58
48,07:45:00,08:00:00,2024-02-18,6,86,7,13,106,99,6,18,123,86,23,6,115,91,20,12,123
48,08:00:00,08:15:00,2024-02-18,6,74,6,21,101,76,4,8,88,84,18,8,110,77,8,6,91
48,08:15:00,08:30:00,2024-02-18,6,77,9,18,104,113,5,24,142,56,20,4,80,85,12,9,106
48,08:30:00,08:45:00,2024-02-18,6,97,5,11,113,76,5,12,93,63,12,8,83,55,16,6,77
48,08:45:00,09:00:00,2024-02-18,6,86,6,19,111,82,6,17,105,79,18,9,106,64,10,3,77
48,09:00:00,09:15:00,2024-02-18,6,118,3,21,142,88,4,15,107,90,25,8,123,55,9,4,68
48,09:15:00,09:30:00,2024-02-18,6,91,3,11,105,84,2,13,99,71,20,6,97,51,6,4,61
48,10:00:00,10:15:00,2024-02-18,6,57,7,8,72,48,2,7,57,66,12,1,79,34,5,4,43
48,10:15:00,10:30:00,2024-02-18,6,90,6,15,111,73,3,11,87,50,13,6,69,47,4,11,62
48,10:30:00,10:45:00,2024-02-18,6,72,4,9,85,56,2,12,70,61,12,8,81,49,10,8,67
48,10:45:00,11:00:00,2024-02-18,6,48,5,4,57,55,4,9,68,41,7,5,53,35,6,5,46
48,11:00:00,11:15:00,2024-02-18,6,47,4,9,60,85,3,14,102,59,16,6,81,28,5,3,36
48,11:15:00,11:30:00,2024-02-18,6,58,1,13,72,46,1,4,51,41,9,3,53,28,4,3,35
48,11:30:00,11:45:00,2024-02-18,6,63,3,8,74,42,3,11,56,34,3,6,43,41,6,8,55
48,11:45:00,12:00:00,2024-02-18,6,82,2,9,93,66,2,8,76,38,11,5,54,37,5,5,47
48,13:00:00,13:15:00,2024-02-18,6,72,8,11,91,60,4,6,70,36,8,4,48,45,4,4,53
48,13:15:00,13:30:00,2024-02-18,6,68,8,9,85,64,2,10,76,54,9,7,70,33,6,4,43
48,13:30:00,13:45:00,2024-02-18,6,56,0,16,72,50,2,3,55,42,7,5,54,59,10,3,72
48,13:45:00,14:00:00,2024-02-18,6,45,5,9,59,40,1,12,53,42,9,9,60,36,2,3,41
48,14:00:00,14:15:00,2024-02-18,6,30,5,5,40,32,2,3,37,37,9,5,51,26,5,4,35
48,14:15:00,14:30:00,2024-02-18,6,79,7,11,97,71,5,14,90,55,11,3,69,48,6,4,58
48,14:30:00,14:45:00,2024-02-18,6,73,2,8,83,51,5,12,68,39,7,7,53,32,4,5,41
48,14:45:00,15:00:00,2024-02-18,6,37,3,7,47,52,4,11,67,26,15,2,43,35,2,6,43
48,16:00:00,16:15:00,2024-02-18,6,50,4,10,64,36,3,7,46,54,14,4,72,31,4,2,37
48,16:15:00,16:30:00,2024-02-18,6,45,4,9,58,54,1,10,65,42,6,3,51,20,2,2,24
48,16:30:00,16:45:00,2024-02-18,6,65,7,17,89,60,5,10,75,51,7,1,59,38,7,2,47
48,16:45:00,17:00:00,2024-02-18,6,71,2,7,80,66,1,7,74,48,9,4,61,35,7,2,44
48,17:00:00,17:15:00,2024-02-18,6,40,3,8,51,45,5,6,56,39,12,5,56,30,4,2,36
48,17:15:00,17:30:00,2024-02-18,6,67,4,13,84,46,1,9,56,46,10,6,62,34,4,1,39
48,17:30:00,17:45:00,2024-02-18,6,69,5,13,87,54,3,13,70,49,15,6,70,47,10,5,62
48,17:45:00,18:00:00,2024-02-18,6,88,4,16,108,66,6,8,80,43,13,6,62,42,10,1,53
