sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
54,07:30:00,07:45:00,2024-02-24,5,101,8,19,128,54,2,6,62,88,14,10,112,60,5,6,71
54,07:45:00,08:00:00,2024-02-24,5,125,9,23,157,142,12,27,181,100,22,10,132,77,12,10,99
54,08:00:00,08:15:00,2024-02-24,5,99,7,23,129,135,3,20,158,73,14,7,94,77,8,12,97
54,08:15:00,08:30:00,2024-02-24,5,112,9,18,139,161,5,38,204,88,19,9,116,61,10,10,81
54,08:30:00,08:45:00,2024-02-24,5,113,5,21,139,106,2,15,123,89,19,7,115,39,7,6,52
54,08:45:00,09:00:00,2024-02-24,5,153,12,22,187,132,10,12,154,111,27,15,153,84,13,8,105
54,09:00:00,09:15:00,2024-02-24,5,145,11,31,187,151,4,14,169,92,18,7,117,70,9,7,86
54,09:15:00,09:30:00,2024-02-24,5,118,5,29,152,98,7,17,122,93,15,7,115,67,13,4,84
54,10:00:00,10:15:00,2024-02-24,5,77,5,13,95,76,3,18,97,58,17,6,81,38,5,1,44
54,10:15:00,10:30:00,2024-02-24,5,116,5,13,134,84,6,13,103,56,13,8,77,74,9,8,91
54,10:30:00,10:45:00,2024-02-24,5,74,7,13,94,85,8,18,111,60,16,5,81,45,6,3,54
54,10:45:00,11:00:00,2024-02-24,5,59,5,11,75,69,4,12,85,58,12,5,75,44,5,10,59
54,11:00:00,11:15:00,2024-02-24,5,81,3,14,98,82,5,17,104,67,17,8,92,58,5,12,75
54,11:15:00,11:30:00,2024-02-24,5,87,8,15,110,63,3,14,80,75,7,4,86,55,6,1,62
54,11:30:00,11:45:00,2024-02-24,5,64,2,5,71,49,2,4,55,52,16,5,73,35,7,4,46
54,11:45:00,12:00:00,2024-02-24,5,89,11,17,117,81,3,19,103,53,15,10,78,82,7,8,97
54,13:00:00,13:15:00,2024-02-24,5,55,5,10,70,69,5,12,86,45,13,6,64,47,3,4,54
54,13:15:00,13:30:00,2024-02-24,5,51,0,9,60,68,5,12,85,58,12,5,75,33,9,4,46
54,13:30:00,13:45:00,2024-02-24,5,72,2,12,86,72,6,12,90,57,14,5,76,40,10,3,53
54,13:45:00,14:00:00,2024-02-24,5,66,4,12,82,62,1,9,72,44,8,7,59,40,8,13,61
54,14:00:00,14:15:00,2024-02-24,5,61,5,10,76,43,2,11,56,36,10,4,50,20,4,4,28
54,14:15:00,14:30:00,2024-02-24,5,90,2,8,100,63,0,10,73,71,15,3,89,68,9,6,83
54,14:30:00,14:45:00,2024-02-24,5,48,4,7,59,47,0,7,54,40,10,7,57,37,8,3,48
54,14:45:00,15:00:00,2024-02-24,5,76,3,14,93,50,5,6,61,46,7,5,58,36,8,5,49
54,16:00:00,16:15:00,2024-02-24,5,58,5,9,72,58,3,7,68,55,5,4,64,26,4,1,31
54,16:15:00,16:30:00,2024-02-24,5,68,2,15,85,52,5,11,68,42,7,4,53,35,4,5,44
54,16:30:00,16:45:00,2024-02-24,5,60,4,9,73,65,4,11,80,50,20,3,73,47,9,8,64
54,16:45:00,17:00:00,2024-02-24,5,70,3,14,87,89,1,12,102,41,8,8,57,46,9,6,61
54,17:00:00,17:15:00,2024-02-24,5,57,5,13,75,58,4,7,69,41,12,6,59,44,5,6,55
54,17:15:00,17:30:00,2024-02-24,5,79,4,11,94,70,5,9,84,59,21,1,81,40,11,3,54
54,17:30:00,17:45:00,2024-02-24,5,77,3,9,89,88,3,15,106,45,14,4,63,47,12,1,60
54,17:45:00,18:00:00,2024-02-24,5,69,4,14,87,71,1,19,91,54,16,4,74,63,8,5,76
