sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
27,07:30:00,07:45:00,2024-01-28,6,83,10,9,102,72,4,8,84,43,11,12,66,63,6,10,79
27,07:45:00,08:00:00,2024-01-28,6,121,5,15,141,103,7,15,125,70,16,9,95,70,14,12,96
27,08:00:00,08:15:00,2024-01-28,6,120,9,17,146,84,4,23,111,76,22,7,105,57,13,5,75
27,08:15:00,08:30:00,2024-01-28,6,165,13,25,203,120,7,17,144,67,13,8,88,67,10,9,86
27,08:30:00,08:45:00,2024-01-28,6,91,9,17,117,94,6,12,112,60,18,11,89,53,4,5,62
27,08:45:00,09:00:00,2024-01-28,6,148,11,24,183,103,6,31,140,63,19,11,93,51,6,3,60
27,09:00:00,09:15:00,2024-01-28,6,113,10,18,141,104,2,19,125,66,17,10,93,55,11,5,71
27,09:15:00,09:30:00,2024-01-28,6,87,8,9,104,72,4,7,83,47,13,4,64,57,13,3,73
27,10:00:00,10:15:00,2024-01-28,6,49,3,10,62,52,2,15,69,43,8,6,57,45,5,4,54
27,10:15:00,10:30:00,2024-01-28,6,77,5,12,94,62,5,9,76,55,16,5,76,55,13,6,74
27,10:30:00,10:45:00,2024-01-28,6,92,5,14,111,70,2,7,79,62,18,7,87,61,8,3,72
27,10:45:00,11:00:00,2024-01-28,6,82,5,16,103,80,4,18,102,34,11,1,46,44,4,5,53
27,11:00:00,11:15:00,2024-01-28,6,71,5,8,84,76,1,15,92,46,21,7,74,40,7,4,51
27,11:15:00,11:30:00,2024-01-28,6,50,2,10,62,41,0,4,45,41,5,2,48,25,8,4,37
27,11:30:00,11:45:00,2024-01-28,6,68,9,10,87,43,6,8,57,28,7,4,39,30,10,8,48
27,11:45:00,12:00:00,2024-01-28,6,65,7,9,81,52,1,11,64,47,11,2,60,33,4,2,39
27,13:00:00,13:15:00,2024-01-28,6,61,6,16,83,71,2,9,82,40,8,8,56,48,9,5,62
27,13:15:00,13:30:00,2024-01-28,6,62,4,6,72,72,2,12,86,54,13,9,76,47,8,4,59
27,13:30:00,13:45:00,2024-01-28,6,47,4,7,58,68,7,6,81,39,11,1,51,36,12,8,56
27,13:45:00,14:00:00,2024-01-28,6,42,3,5,50,43,1,15,59,42,14,5,61,26,6,3,35
27,14:00:00,14:15:00,2024-01-28,6,68,6,10,84,65,3,16,84,38,4,0,42,26,6,2,34
27,14:15:00,14:30:00,2024-01-28,6,63,8,9,80,60,1,12,73,52,14,3,69,30,5,9,44
27,14:30:00,14:45:00,2024-01-28,6,55,5,8,68,59,4,5,68,43,15,4,62,34,3,3,40
27,14:45:00,15:00:00,2024-01-28,6,46,3,7,56,50,1,12,63,31,7,3,41,37,6,2,45
27,16:00:00,16:15:00,2024-01-28,6,35,1,7,43,37,2,9,48,45,11,5,61,32,3,5,40
27,16:15:00,16:30:00,2024-01-28,6,57,4,9,70,51,1,7,59,47,9,4,60,32,3,7,42
27,16:30:00,16:45:00,2024-01-28,6,59,4,14,77,47,4,6,57,31,8,4,43,49,9,7,65
27,16:45:00,17:00:00,2024-01-28,6,67,5,13,85,75,4,7,86,67,17,1,85,26,7,3,36
27,17:00:00,17:15:00,2024-01-28,6,70,5,7,82,46,0,4,50,43,10,1,54,33,12,9,54
27,17:15:00,17:30:00,2024-01-28,6,49,9,5,63,58,3,5,66,36,19,9,64,24,4,6,34
27,17:30:00,17:45:00,2024-01-28,6,54,2,6,62,93,5,8,106,74,12,2,88,35,4,8,47
27,17:45:00,18:00:00,2024-01-28,6,73,2,10,85,63,7,8,78,48,14,11,73,46,12,7,65
