sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
17,07:30:00,07:45:00,2024-01-18,3,147,14,29,190,154,8,32,194,76,27,9,112,84,16,14,114
17,07:45:00,08:00:00,2024-01-18,3,229,16,37,282,247,15,41,303,94,18,9,121,109,22,10,141
17,08:00:00,08:15:00,2024-01-18,3,178,10,24,212,188,11,34,233,145,29,11,185,88,7,6,101
17,08:15:00,08:30:00,2024-01-18,3,216,10,38,264,209,11,34,254,142,25,7,174,110,16,13,139
17,08:30:00,08:45:00,2024-01-18,3,169,17,26,212,177,8,20,205,100,31,14,145,112,17,8,137
17,08:45:00,09:00:00,2024-01-18,3,197,9,37,243,171,7,22,200,125,29,19,173,91,15,13,119
17,09:00:00,09:15:00,2024-01-18,3,247,12,34,293,174,9,32,215,133,30,12,175,110,16,22,148
17,09:15:00,09:30:00,2024-01-18,3,150,2,19,171,125,6,13,144,134,27,7,168,70,13,6,89
17,10:00:00,10:15:00,2024-01-18,3,119,9,21,149,127,6,22,155,100,22,9,131,73,12,10,95
17,10:15:00,10:30:00,2024-01-18,3,103,12,21,136,101,3,11,115,91,20,6,117,95,13,10,118
17,10:30:00,10:45:00,2024-01-18,3,151,14,23,188,116,6,29,151,107,25,11,143,64,10,11,85
17,10:45:00,11:00:00,2024-01-18,3,138,13,15,166,86,2,20,108,85,17,6,108,83,10,11,104
17,11:00:00,11:15:00,2024-01-18,3,103,9,16,128,71,5,16,92,104,22,15,141,104,15,10,129
17,11:15:00,11:30:00,2024-01-18,3,94,11,12,117,131,7,12,150,75,21,6,102,52,11,4,67
17,11:30:00,11:45:00,2024-01-18,3,99,7,11,117,104,3,19,126,59,16,4,79,66,13,6,85
17,11:45:00,12:00:00,2024-01-18,3,123,8,12,143,112,3,8,123,66,13,7,86,70,10,2,82
17,13:00:00,13:15:00,2024-01-18,3,114,11,10,135,118,3,25,146,88,19,9,116,92,15,12,119
17,13:15:00,13:30:00,2024-01-18,3,117,16,23,156,115,8,17,140,61,17,6,84,61,14,8,83
17,13:30:00,13:45:00,2024-01-18,3,114,13,21,148,79,4,19,102,68,20,6,94,71,8,17,96
17,13:45:00,14:00:00,2024-01-18,3,86,6,14,106,79,3,16,98,92,23,10,125,41,5,7,53
17,14:00:00,14:15:00,2024-01-18,3,81,5,16,102,74,4,9,87,59,12,7,78,46,6,3,55
17,14:15:00,14:30:00,2024-01-18,3,106,8,14,128,84,6,13,103,104,19,8,131,105,14,10,129
17,14:30:00,14:45:00,2024-01-18,3,103,10,16,129,54,8,7,69,61,12,6,79,30,5,3,38
17,14:45:00,15:00:00,2024-01-18,3,85,9,13,107,82,2,16,100,70,22,9,101,48,8,4,60
17,16:00:00,16:15:00,2024-01-18,3,93,8,13,114,66,2,7,75,58,16,6,80,91,14,6,111
17,16:15:00,16:30:00,2024-01-18,3,84,8,12,104,114,6,15,135,79,18,2,99,51,9,9,69
17,16:30:00,16:45:00,2024-01-18,3,104,9,17,130,108,6,13,127,58,8,7,73,66,9,7,82
17,16:45:00,17:00:00,2024-01-18,3,95,8,9,112,80,9,19,108,79,11,6,96,71,4,7,82
17,17:00:00,17:15:00,2024-01-18,3,78,3,6,87,105,5,11,121,40,14,10,64,64,8,7,79
17,17:15:00,17:30:00,2024-01-18,3,98,10,17,125,84,4,10,98,70,14,8,92,66,6,11,83
17,17:30:00,17:45:00,2024-01-18,3,133,7,28,168,82,2,13,97,97,21,6,124,80,13,9,102
17,17:45:00,18:00:00,2024-01-18,3,118,10,22,150,100,9,19,128,88,18,6,112,58,10,5,73
