sim_day,start_time,end_time,date,day_of_week,N_through,N_right,N_left,N_total,S_through,S_right,S_left,S_total,E_through,E_right,E_left,E_total,W_through,W_right,W_left,W_total
7,07:30:00,07:45:00,2024-01-08,0,120,6,17,143,144,5,25,174,88,20,8,116,103,19,20,142
7,07:45:00,08:00:00,2024-01-08,0,131,10,13,154,188,10,36,234,171,40,16,227,103,23,11,137
7,08:00:00,08:15:00,2024-01-08,0,191,16,39,246,158,10,21,189,125,30,11,166,114,21,21,156
7,08:15:00,08:30:00,2024-01-08,0,243,19,44,306,177,11,35,223,155,27,20,202,98,22,11,131
7,08:30:00,08:45:00,2024-01-08,0,145,14,27,186,177,7,22,206,123,30,11,164,102,21,14,137
7,08:45:00,09:00:00,2024-01-08,0,204,18,30,252,129,6,22,157,123,28,14,165,122,24,8,154
7,09:00:00,09:15:00,2024-01-08,0,176,18,27,221,206,23,41,270,128,29,10,167,134,25,27,186
7,09:15:00,09:30:00,2024-01-08,0,200,18,39,257,118,2,20,140,114,19,10,143,84,11,18,113
7,10:00:00,10:15:00,2024-01-08,0,121,9,20,150,137,7,17,161,104,29,7,140,63,9,5,77
7,10:15:00,10:30:00,2024-01-08,0,163,17,31,211,136,11,34,181,94,24,10,128,90,16,10,116
7,10:30:00,10:45:00,2024-01-08,0,131,11,20,162,154,8,33,195,135,33,17,185,89,15,13,117
7,10:45:00,11:00:00,2024-01-08,0,124,6,25,155,71,5,18,94,95,19,15,129,80,20,5,105
7,11:00:00,11:15:00,2024-01-08,0,160,10,29,199,101,7,26,134,101,23,15,139,102,21,9,132
7,11:15:00,11:30:00,2024-01-08,0,112,7,28,147,87,4,12,103,100,14,8,122,73,8,6,87
7,11:30:00,11:45:00,2024-01-08,0,68,4,11,83,93,6,21,120,71,14,7,92,62,7,10,79
7,11:45:00,12:00:00,2024-01-08,0,119,7,18,144,95,6,19,120,89,15,10,114,70,13,7,90
7,13:00:00,13:15:00,2024-01-08,0,144,7,36,187,98,7,20,125,102,31,8,141,80,15,8,103
7,13:15:00,13:30:00,2024-01-08,0,157,9,18,184,149,6,25,180,102,20,6,128,79,14,7,100
7,13:30:00,13:45:00,2024-01-08,0,114,13,31,158,114,2,15,131,98,20,4,122,55,11,5,71
7,13:45:00,14:00:00,2024-01-08,0,119,12,23,154,112,6,14,132,60,21,5,86,56,7,6,69
7,14:00:00,14:15:00,2024-01-08,0,116,7,28,151,62,4,8,74,53,14,6,73,38,9,4,51
7,14:15:00,14:30:00,2024-01-08,0,111,8,18,137,82,7,11,100,84,28,7,119,100,21,13,134
7,14:30:00,14:45:00,2024-01-08,0,122,9,23,154,63,3,14,80,66,18,5,89,57,8,14,79
7,14:45:00,15:00:00,2024-01-08,0,108,6,20,134,66,1,9,76,44,11,6,61,59,9,7,75
7,16:00:00,16:15:00,2024-01-08,0,111,15,23,149,100,6,11,117,71,20,9,100,54,11,6,71
7,16:15:00,16:30:00,2024-01-08,0,103,5,14,122,77,5,18,100,91,20,10,121,56,6,7,69
7,16:30:00,16:45:00,2024-01-08,0,100,8,18,126,124,5,15,144,71,15,8,94,62,12,11,85
7,16:45:00,17:00:00,2024-01-08,0,123,7,18,148,88,7,13,108,81,18,13,112,57,5,8,70
7,17:00:00,17:15:00,2024-01-08,0,100,7,19,126,81,5,13,99,46,16,3,65,66,4,4,74
7,17:15:00,17:30:00,2024-01-08,0,151,8,35,194,114,8,26,148,77,17,8,102,83,14,6,103
7,17:30:00,17:45:00,2024-01-08,0,165,10,28,203,120,8,26,154,108,24,14,146,86,11,10,107
7,17:45:00,18:00:00,2024-01-08,0,85,6,16,107,98,5,17,120,100,24,4,128,78,13,4,95
